	Cluster_0	Cluster_1	Cluster_2
CPXM1	6.701903597122302	7.2181068965517206	6.592337931034482
CPXM2	7.698042206235012	8.182397701149426	7.672622413793103
CPZ	5.943720383693045	6.231519540229883	5.815827586206897
CR1	5.3757796163069544	5.5411551724137915	5.42795172413793
CR2	5.501273381294964	6.021302298850573	5.57865
CRABP2	10.896941247002399	9.722095402298851	9.987068965517242
CRADD	7.236484892086331	7.403494252873564	7.069827586206896
CRAMP1L	7.599335491606714	7.274649425287355	7.333122413793103
CRAT	6.425876019184652	6.464190804597701	5.78385
CRB1	5.3710340527577936	5.377932183908045	5.394051724137931
CRB2	5.295166426858512	5.296125287356322	5.323356896551723
CRB3	7.488580575539567	7.139666666666663	7.391787931034483
CRBN	8.564171702637887	8.425742528735633	8.163686206896552
CRCP	5.400342206235012	5.403904597701151	5.414055172413793
CRCT1	5.481568345323741	5.480006896551725	5.481863793103448
CREB1	6.999868585131895	7.088006896551724	7.041048275862069
CREB3	6.249569784172662	6.182785057471264	6.18793448275862
CREB3L1	5.507878177458033	5.501840229885056	5.475836206896552
CREB3L2	9.499225179856115	9.87932643678161	10.458408620689655
CREB3L3	5.278751079136691	5.296005747126437	5.320832758620689
CREB3L4	7.368081055155876	6.784649425287356	6.189351724137932
CREB5	5.537223741007194	5.577416091954023	5.62793448275862
CREBBP	7.4143031175059955	7.2269425287356315	7.19775172413793
CREBRF	7.825221582733812	7.763041379310343	7.411310344827585
CREBZF	7.10714340527578	7.0753080459770095	7.019213793103449
CREG1	9.586064028776978	9.82317471264368	10.040124137931036
CREG2	5.391712949640287	5.388368965517242	5.401168965517241
CRELD1	5.604050119904078	5.568935632183908	5.587677586206897
CRELD2	9.665754676258992	9.987358620689655	9.98298275862069
CREM	5.321809352517985	5.333324137931034	5.341575862068966
CRH	5.669936450839329	5.707521839080459	5.693770689655173
CRHBP	5.447782494004796	5.432162068965517	5.456224137931034
CRHR1	5.915014148681055	5.881727586206895	5.87146724137931
CRHR2	5.295336450839328	5.300290804597702	5.284868965517242
CRIM1	7.062892805755396	6.732051724137933	6.734568965517242
CRIP1	12.723578896882495	11.610949425287355	10.201489655172415
CRIP2	10.48111870503597	9.996850574712646	9.410267241379309
CRIP3	5.442042685851319	5.462324137931035	5.441243103448276
CRIPAK	8.018801678657073	7.349611494252874	7.1623603448275865
CRIPT	7.997518705035971	7.832766666666665	8.330637931034483
CRISP1	5.28091798561151	5.285601149425288	5.276282758620689
CRISP2	5.719165467625899	5.779166666666667	5.739344827586207
CRISPLD1	6.061494724220624	5.896629885057472	6.422274137931035
CRISPLD2	9.332136930455635	9.952234482758621	9.122725862068965
CRK	7.740397122302158	7.717194252873563	7.9017603448275855
CRKL	9.720149880095924	9.726203448275863	9.780203448275863
CRLF1	5.779842206235012	5.837324137931034	6.040520689655172
CRLF2	5.4215925659472415	5.4382931034482755	5.408451724137931
CRLF3	6.538780335731414	6.9676241379310335	6.821194827586207
CRLS1	9.255625899280576	9.344245977011493	9.446758620689655
CRMP1	5.57010959232614	5.560937931034484	5.563505172413794
CRNDE	6.861507913669065	6.410359770114942	6.697701724137931
CRNKL1	6.585453717026379	6.299922988505747	6.108077586206896
CRNN	5.810242206235011	5.852173563218391	5.770739655172415
CROCC	6.342543405275779	6.205750574712644	6.191931034482758
CROCCP2	5.57725587529976	5.56263908045977	5.510603448275862
CROCCP3	5.3173261390887285	5.314562068965516	5.328548275862069
CRTAM	5.315704556354916	5.326745977011494	5.307043103448277
CRTAP	7.332673381294964	7.564670114942529	7.116358620689655
CRTC2	6.220438848920863	6.116812643678161	6.3959224137931034
CRX	5.390778417266187	5.386008045977012	5.414132758620689
CRY1	7.148477937649879	7.243167816091954	7.234136206896552
CRY2	7.891114388489208	7.6359954022988505	7.207717241379311
CRYAA	5.393984412470025	5.418142528735632	5.427281034482758
CRYAB	8.26612829736211	8.881550574712646	10.806524137931035
CRYBA1	5.3149721822541975	5.3457793103448275	5.317831034482758
CRYBA2	5.460652038369305	5.44511724137931	5.466731034482757
