	Cluster_0	Cluster_1	Cluster_2
ANKRA2	7.95245	7.34552	8.05015
ANKRD1	5.39817	5.54087	5.38563
ANKRD10	7.83326	7.63235	7.82538
ANKRD11	6.5785	6.79814	6.54784
ANKRD12	7.63944	7.47987	7.65496
ANKRD13A	8.62811	8.82409	8.48306
ANKRD13B	5.64684	5.72803	5.74466
ANKRD13C	6.43009	6.50356	6.37004
ANKRD13D	5.44556	5.44474	5.48433
ANKRD16	6.40606	6.57031	6.63396
ANKRD17	6.6464	6.68834	6.53228
ANKRD18A	5.50216	5.50835	5.54388
ANKRD19P	5.47176	5.49894	5.56552
ANKRD2	5.32148	5.32451	5.33572
ANKRD20A1	5.59917	5.56805	5.69986
ANKRD20A2	5.3163	5.30233	5.3121
ANKRD20A4	5.41451	5.42559	5.43359
ANKRD22	6.32107	6.89931	6.37519
ANKRD23	5.57346	5.60554	5.66768
ANKRD24	5.73375	5.57783	5.87364
ANKRD26	6.22518	6.20954	6.48278
ANKRD27	5.88888	6.066	5.93307
ANKRD28	6.46535	6.39232	6.50301
ANKRD29	6.08949	5.90544	5.88972
ANKRD30A	9.8686	6.53301	9.7351
ANKRD30B	6.18162	5.527	6.52268
ANKRD30BP1	5.34225	5.33532	5.36469
ANKRD31	5.32227	5.31035	5.34353
ANKRD32	5.97572	5.98215	6.00791
ANKRD33	8.52296	8.62398	8.58664
ANKRD33B	5.26514	5.2637	5.25984
ANKRD34A	5.72124	5.74879	5.69126
ANKRD34B	5.32021	5.39425	5.3365
ANKRD34C	5.52732	5.52486	5.53628
ANKRD35	6.45482	6.43338	6.11231
ANKRD36	5.37632	5.38541	5.39967
ANKRD36B	6.66849	6.79236	7.00418
ANKRD37	7.60703	7.68334	7.33016
ANKRD39	7.30655	7.48399	7.65422
ANKRD40	5.77925	5.7829	5.8324
ANKRD42	5.32156	5.31131	5.37859
ANKRD44	5.37194	5.38479	5.37576
ANKRD46	7.97503	7.9381	8.15992
ANKRD49	7.53998	7.53348	7.47414
ANKRD50	8.31185	7.7637	8.24178
ANKRD53	5.41998	5.43283	5.44776
ANKRD55	5.47286	5.51818	5.45422
ANKRD6	6.45408	6.39889	6.30613
ANKRD60	5.49018	5.51431	5.49876
ANKRD62	5.34499	5.38551	5.36635
ANKRD7	5.49459	5.50665	5.50358
ANKRD9	7.29025	7.26704	7.39612
ANKS1A	8.59863	8.71841	8.45772
ANKS1B	5.68144	5.57561	5.85192
ANKS3	6.19269	6.0491	6.44984
ANKS6	5.33792	5.38121	5.34584
ANKZF1	5.63203	5.7059	5.65465
ANLN	5.93796	6.76236	6.16718
ANO1	8.18055	7.36325	8.00343
ANO1-AS2	5.3706	5.36502	5.37375
ANO10	7.38366	7.43056	7.60118
ANO2	5.75917	5.6765	5.89517
ANO3	5.48467	5.45989	5.45382
ANO4	5.42238	5.41788	5.42843
ANO5	5.36508	5.34816	5.36434
ANO6	8.36367	8.19493	8.14523
ANO7	5.36581	5.34568	5.37642
ANO8	6.81076	6.79845	7.00137
ANO9	5.96038	5.9649	6.25086
ANP32A	5.59414	5.57478	5.59401
ANP32B	11.5559	11.7918	11.4543
ANP32C	5.52072	5.50298	5.52208
ANP32D	5.24987	5.24084	5.25656
ANP32E	5.40246	5.43041	5.38223
ANPEP	7.3034	7.26159	7.23137
ANTXR1	6.84498	6.96365	6.69407
ANTXRL	5.27015	5.33926	5.28777
ANXA1	11.0398	11.2653	9.81171
ANXA10	5.34789	5.32666	5.3283
ANXA11	7.74182	7.62255	7.74874
ANXA13	5.46209	5.40885	5.41564
ANXA2	8.79117	9.20115	8.44425
ANXA2P1	8.64716	8.66841	8.33955
ANXA2P3	6.06273	6.13332	5.99896
ANXA2R	7.21276	7.63545	6.70115
ANXA3	6.06036	6.2292	5.77162
ANXA4	5.9546	5.8683	5.77309
ANXA5	10.8144	10.797	10.3549
ANXA7	7.70575	7.61412	7.65641
ANXA8	5.45483	5.45375	5.46727
ANXA8L2	5.72761	6.18927	5.55606
ANXA9	6.86281	5.83236	7.34542
AOC1	5.61505	5.75906	5.63874
AOC2	5.43698	5.44526	5.46717
AOC3	5.41212	5.43594	5.45018
AOX1	6.52822	6.24931	6.00993
AOX2P	5.43427	5.41437	5.44513
AP1AR	5.63442	5.56281	5.64613
AP1B1	6.93812	7.22661	7.10406
AP1G1	7.27368	7.40929	7.4191
AP1G2	6.60585	6.39025	6.74729
AP1M1	8.34343	8.59232	8.2654
AP1M2	6.26297	6.14943	6.55875
AP1S1	7.64077	7.84468	7.63468
AP1S2	8.31387	8.56802	7.77677
AP1S3	5.25845	5.28743	5.28373
AP2A1	5.93817	5.90978	6.08616
AP2A2	6.36621	6.30814	6.50286
AP2B1	7.19295	6.91399	7.62854
AP2M1	9.07025	9.21682	9.12247
AP2S1	11.3849	11.4855	11.3835
AP3B1	9.693	9.51015	9.72331
AP3B2	5.59209	5.62478	5.80541
AP3D1	8.57652	8.61975	8.709
AP3M1	8.37036	8.21859	8.30522
AP3M2	7.93496	7.9954	8.21129
AP3S1	6.2462	6.09553	6.1453
AP3S2	6.63297	6.63736	6.75638
AP4B1	8.1437	8.26579	8.08647
AP4E1	7.04874	7.15627	7.181
AP4M1	6.17574	6.2163	6.37828
AP4S1	5.89195	5.93765	5.9588
AP5M1	6.22094	6.21882	6.24207
AP5S1	7.17628	7.1163	7.23677
AP5Z1	5.92127	6.10585	6.01631
APAF1	6.58266	6.62239	6.58839
APBA1	5.36316	5.35464	5.36637
APBA2	5.35728	5.48225	5.35433
APBA3	7.86489	8.03879	7.86333
APBB1	5.38928	5.37051	5.38388
APBB1IP	7.98588	8.28358	7.5707
APBB3	8.43991	7.85794	8.61461
APC	5.38799	5.3745	5.37661
APC2	5.37968	5.40545	5.44033
APCDD1	7.07846	7.03914	6.6141
APCDD1L	6.55922	6.9248	6.17189
APCS	5.77672	5.79398	5.81993
APEH	9.42888	9.08501	9.66842
APEX1	10.2004	10.0182	10.0557
APEX2	8.47208	8.75066	8.54062
APH1A	7.66918	7.8483	7.86498
APH1B	7.84594	7.34809	7.95764
API5	9.14426	9.22041	9.13253
APIP	7.28011	7.24028	7.26778
APLN	5.80993	5.89112	5.87861
APLNR	8.15312	7.91705	7.71933
APLP1	5.62699	5.78515	5.94874
APLP2	8.95489	8.90844	9.10814
APMAP	8.50349	8.38447	8.57263
APOA1	5.39243	5.35868	5.48204
APOA1BP	10.0555	9.89902	10.3953
APOA2	5.45611	5.48536	5.48186
APOA4	5.23311	5.26272	5.24444
APOA5	5.29695	5.32305	5.31847
APOB	5.38032	5.36426	5.35939
APOBEC1	5.33388	5.34522	5.34824
APOBEC2	5.38024	5.35791	5.36702
APOBEC3A	5.33531	5.37122	5.31583
APOBEC3B	5.79029	6.5916	5.90557
APOBEC3C	5.97712	6.10446	5.92378
APOBEC3D	5.32082	5.33378	5.33576
APOBEC3F	6.53351	6.66185	6.2526
APOBEC3G	6.90625	7.23358	6.45639
APOBEC3H	5.8044	6.03695	5.71497
APOBEC4	5.27033	5.27946	5.31019
APOC1	9.72626	10.323	9.52969
APOC2	6.16041	6.33048	6.22219
APOC3	5.37107	5.35092	5.40518
APOC4	5.42294	5.45896	5.42963
APOD	12.1196	10.8228	10.4028
APOE	11.5439	11.8798	11.2427
APOH	5.21033	5.22976	5.21368
APOL1	5.56573	5.61423	5.58635
APOL2	5.43836	5.44511	5.43858
APOL3	5.32015	5.3315	5.31948
APOL4	5.5513	5.55758	5.49623
APOL5	5.39065	5.39507	5.40825
APOM	6.48995	6.19483	6.44102
APOOL	5.94133	6.20093	6.07334
APP	10.4608	10.5179	9.94807
APPBP2	7.07035	6.87295	7.1694
APPL1	6.71829	6.60678	6.79036
APPL2	8.57637	8.10695	8.51218
APRT	8.60103	8.95933	8.59988
APTX	7.47668	7.47873	7.69824
AQP1	6.09635	5.95925	5.79821
AQP10	5.34886	5.34142	5.33018
AQP11	6.28257	5.93978	6.53973
AQP12B	5.37892	5.38422	5.39228
AQP3	5.65188	5.61683	5.63734
AQP4	5.33847	5.35362	5.3374
AQP4-AS1	5.53659	5.45925	5.55189
AQP5	5.46035	5.79345	5.42567
AQP6	5.72657	5.80886	5.808
AQP7	5.68548	5.51335	5.51447
AQP7P1	5.54871	5.47434	5.4863
AQP8	5.40715	5.38249	5.43458
AQP9	5.98699	6.94951	5.87619
AQR	6.86471	6.77738	6.93331
AR	6.07292	5.62586	6.0639
ARAF	8.33486	8.26922	8.56093
ARAP1	5.99294	6.00655	6.03365
ARAP2	5.73067	5.77273	5.66565
ARAP3	7.51127	7.39664	7.26203
ARC	5.54862	5.43737	5.53116
AREL1	5.33838	5.33618	5.34039
ARF1	6.86832	7.00427	7.01412
ARF3	8.42738	8.25941	8.72447
ARF4	9.81982	9.60087	9.43296
ARF5	9.28451	9.45182	9.37488
ARF6	5.55367	5.54758	5.54733
ARFGAP1	6.93405	7.0419	7.18778
ARFGAP2	7.70844	7.60427	7.80604
ARFGAP3	8.58421	8.78571	8.33394
ARFGEF1	7.11308	7.0607	7.31794
ARFGEF2	6.53091	6.6432	6.6763
ARFIP1	5.93424	5.80874	5.87071
ARFRP1	6.04821	6.0575	6.16638
ARG1	5.31414	5.33909	5.32281
ARG2	5.6453	5.74767	5.64909
ARGLU1	10.4421	10.3183	10.2104
ARHGAP1	10.2137	9.79025	10.0167
ARHGAP10	7.03069	7.21745	6.70756
ARHGAP11A	5.511	5.58797	5.54281
ARHGAP11B	5.53126	5.70143	5.61791
ARHGAP12	6.10884	6.06192	6.10111
ARHGAP15	7.89333	8.04536	7.17451
ARHGAP17	6.85204	7.05084	6.94968
ARHGAP18	5.54171	5.58052	5.50514
ARHGAP19	7.26783	7.17205	7.1992
ARHGAP20	5.75247	5.60287	5.57106
ARHGAP21	8.98893	9.23058	8.83487
ARHGAP22	6.39526	6.78186	6.29279
ARHGAP23	5.25399	5.28125	5.28874
ARHGAP24	5.86735	5.82413	5.73044
ARHGAP25	5.46477	5.46731	5.43718
ARHGAP26	5.57626	5.56467	5.5616
ARHGAP27	5.5608	5.59081	5.57742
ARHGAP28	5.79002	5.78421	5.54199
ARHGAP29	5.47019	5.4044	5.48987
ARHGAP30	6.71621	7.23253	6.38521
ARHGAP31	5.89364	5.98349	5.72061
ARHGAP32	8.67651	7.82651	8.97563
ARHGAP33	7.48924	7.33121	7.87025
ARHGAP35	5.56252	5.51747	5.58233
ARHGAP36	5.96392	5.79388	5.915
ARHGAP39	8.47882	8.31081	8.97206
ARHGAP4	7.53886	7.84656	7.34688
ARHGAP42	5.36494	5.40773	5.36166
ARHGAP44	6.67331	6.7287	6.78853
ARHGAP5	5.54324	5.53092	5.54632
ARHGAP6	5.34349	5.34028	5.34212
ARHGAP9	7.10371	7.43309	6.67171
ARHGDIA	9.68688	9.70404	9.81369
ARHGDIB	12.5707	12.319	12.4225
ARHGEF1	5.98989	6.21772	6.03284
ARHGEF10	6.77529	6.70743	6.6838
ARHGEF10L	5.70995	5.71934	5.70903
ARHGEF11	6.32184	6.4293	6.60759
ARHGEF12	6.90413	6.5237	6.93646
ARHGEF15	5.67072	5.57798	5.60743
ARHGEF16	6.39629	6.17164	6.63838
ARHGEF17	6.77989	6.51011	6.86622
ARHGEF18	9.31558	9.39006	9.25266
ARHGEF19	7.62367	7.67928	7.7898
ARHGEF2	10.4089	10.5179	10.4013
ARHGEF25	5.42617	5.4423	5.42603
ARHGEF28	5.56216	5.53056	5.54067
ARHGEF3	9.67427	9.29659	9.6457
ARHGEF35	5.37333	5.3964	5.38523
ARHGEF37	7.1436	6.71483	7.06768
ARHGEF38	5.20662	5.21774	5.21942
ARHGEF39	5.57053	5.75364	5.74016
ARHGEF4	5.54811	5.68851	5.47847
ARHGEF40	6.10588	5.9399	6.07681
ARHGEF5	5.58127	5.5945	5.59802
ARHGEF6	9.33178	9.10293	9.16725
ARHGEF7	5.51751	5.54827	5.52659
ARHGEF9	5.64929	5.75863	5.68929
ARID1A	7.44081	7.33058	7.34738
ARID1B	5.42265	5.43624	5.43979
ARID2	6.44525	6.3192	6.53418
ARID3A	7.31769	7.45763	7.55317
ARID3B	6.80339	6.88987	6.8892
ARID3C	5.37362	5.36364	5.38289
ARID4A	5.98617	5.92219	5.97781
ARID4B	7.13385	7.1695	7.51748
ARID5A	5.79034	5.77689	5.79808
ARID5B	9.38073	9.18132	8.72439
ARIH1	6.69787	6.96451	6.59432
ARIH2	8.58708	8.44311	8.67963
ARL1	9.14839	8.75041	9.20386
ARL11	5.33814	5.35534	5.36864
ARL13A	5.38499	5.3844	5.39708
ARL13B	5.521	5.49608	5.47853
ARL14	5.37941	5.48743	5.38691
ARL15	5.81013	5.76916	5.79771
ARL16	7.40042	7.36061	7.45441
ARL17A	6.1385	6.15747	6.2723
ARL2	9.79909	9.7058	9.62671
ARL2BP	9.45536	9.52816	9.24729
ARL3	6.75454	6.38387	6.981
ARL4A	5.96467	6.00976	5.81702
ARL4C	5.91378	6.10642	5.68792
ARL4D	5.59128	5.5435	5.59983
ARL5A	8.15526	8.12656	7.98028
ARL5B	5.92416	6.21889	5.99314
ARL5C	5.47377	5.50266	5.49378
ARL6	5.34965	5.35723	5.36005
ARL6IP1	8.38537	8.44255	8.57618
ARL6IP4	6.55096	6.5461	6.70675
ARL6IP5	10.7272	10.5074	10.5367
ARL6IP6	6.43867	6.51268	6.32234
ARL8A	5.54791	5.55	5.52973
ARL8B	8.61003	8.62275	8.7976
