	Cluster_0	Cluster_1	Cluster_2
ESPNL	5.605191039426524	5.753343870967742	5.7562765625
ESPNP	5.43510035842294	5.39824064516129	5.37851875
ESR1	11.07969283154122	9.747180645161292	6.6624890625
ESR2	5.420346236559141	5.452481935483871	5.47492109375
ESRP1	6.473249103942653	6.254287096774194	6.617553125000001
ESRP2	5.40364265232975	5.391853548387097	5.40147265625
ESRRA	6.793496057347671	6.690119999999999	7.05469375
ESRRB	5.472147670250896	5.502512258064517	5.45876171875
ESRRG	6.0100673835125455	5.97835935483871	5.782010156250001
ESX1	5.348488530465951	5.339609677419355	5.3707390625
ESYT1	9.48678064516129	9.430460000000002	9.39913671875
ESYT2	10.556486738351254	10.554391612903226	10.555800000000001
ESYT3	5.384413978494624	5.400510967741935	5.65754140625
ETAA1	5.429672759856632	5.423306451612903	5.390590625
ETF1	8.084963440860214	8.058930967741935	7.983734374999999
ETFA	8.724439426523297	9.239094838709677	9.2616734375
ETFB	8.104641577060931	8.549383225806451	8.47440078125
ETFDH	7.548709677419355	7.548330967741935	7.3101953125
ETHE1	5.771848387096774	5.8099541935483865	5.8283421875000005
ETNK1	5.851748387096774	5.86818064516129	5.9236140625
ETNK2	7.193352329749104	7.1479909677419355	6.4276656249999995
ETNPPL	5.563412186379928	5.458986451612904	5.45012578125
ETS1	7.887979211469534	8.498364516129032	8.768925
ETS2	7.371788530465951	7.9712845161290335	7.8584796875
ETV1	5.2708279569892476	5.301614193548387	5.28667109375
ETV2	5.692198566308243	5.6851696774193545	5.6833828125
ETV3	6.201909677419354	6.069663225806452	6.25318984375
ETV3L	5.381499641577061	5.401785806451612	5.425509375
ETV4	5.959226523297491	5.840732903225806	6.124634375
ETV5	6.70425770609319	6.913597419354839	6.9818609375000005
ETV6	8.20825734767025	8.235833548387097	8.56987578125
ETV7	5.752805017921147	5.7175806451612905	6.0208515625
EVA1A	6.299870967741937	6.606938709677419	7.0168140625
EVA1B	8.087535483870969	7.980876129032257	7.042142968750001
EVA1C	6.916597849462365	7.123397419354839	7.09677890625
EVC	5.646223655913978	5.612833548387097	5.61012578125
EVC2	5.774074910394265	5.76708064516129	5.7937671875
EVI2A	6.003120788530467	6.429153548387097	6.4991953124999995
EVI2B	6.227864157706093	6.64698129032258	6.77873984375
EVI5L	7.695264157706092	7.589905806451613	7.54538984375
EVL	12.73071899641577	12.163662580645159	10.9773484375
EVPL	7.611222580645162	7.232034193548386	7.2013734375
EVX1	5.527814695340502	5.535044516129032	5.539836718749999
EVX2	5.394321146953405	5.379712903225807	5.395971875
EWSR1	7.930354480286739	7.807549677419355	7.90983203125
EXD1	5.346258422939068	5.339790967741935	5.351620312500001
EXD2	8.492335125448028	8.298258709677421	7.995478125
EXD3	6.169159139784946	5.952910967741936	5.69945859375
EXO1	5.572012186379928	5.534345806451612	5.766654687500001
EXO5	7.022525806451614	6.9093303225806455	7.19919296875
EXOC1	6.471687096774193	6.417029032258064	6.42624921875
EXOC2	7.254046953405017	6.988449032258064	6.82604453125
EXOC3	7.940372759856631	7.818596129032258	7.81127109375
EXOC3L1	5.537497132616488	5.493409677419355	5.51420625
EXOC3L4	5.534699641577061	5.467069677419355	5.5243171874999994
EXOC4	6.503979928315412	6.441391612903226	6.484081249999999
EXOC5	5.477010752688172	5.461204516129032	5.46636640625
EXOC6	5.558352688172043	5.523824516129032	5.53498515625
EXOC6B	5.621519713261648	5.610435483870967	5.6230945312500005
EXOC7	7.597256630824374	7.4248548387096776	7.404667187499999
EXOC8	5.42074982078853	5.400429677419355	5.4004890625
EXOG	7.677335842293908	7.7440406451612915	8.048065625
EXOSC1	8.88126523297491	8.933093548387097	8.78805
EXOSC10	8.03936523297491	8.061990967741936	7.949935937499999
EXOSC2	7.008813620071684	6.935082580645163	7.070782812499999
EXOSC3	7.962668817204301	7.960670322580643	8.052946875
EXOSC4	7.8354641577060935	7.560623225806451	7.899883593749999
EXOSC5	8.024345878136202	7.753385161290322	7.96829609375
EXOSC8	8.152032974910394	8.21790129032258	8.41760390625
EXOSC9	7.181084229390681	7.107928387096774	7.272607031250001
EXPH5	6.7605863799283155	6.588881935483871	6.661256249999999
EXT1	7.615063082437277	7.539463870967742	7.90286953125
EXT2	7.443313978494624	7.741865806451613	7.74893671875
EXTL1	5.672321863799283	5.716372903225807	5.839767187500001
EXTL2	6.75218064516129	6.880564516129032	6.9053734375
EXTL3	7.136525806451614	6.881380645161291	7.0804085937500005
EYA1	5.336181720430107	5.330549032258063	5.3194453125
EYA2	5.495697849462366	5.490347096774193	5.503584375
EYA3	5.359060931899641	5.360523225806452	5.36451953125
EYA4	5.397571684587814	5.430157419354838	5.3871523437499995
EZH1	5.761162007168458	5.698329032258065	5.703051562500001
EZH2	6.41819641577061	6.189593548387096	6.921629687499999
EZR	11.967243010752687	11.53519935483871	11.40407890625
F10	5.436633333333333	5.697181290322582	5.50941953125
F11	5.425056989247311	5.4211412903225815	5.415218749999999
F11R	7.620263440860215	7.573461290322581	7.7698093749999995
F12	8.111849462365592	7.662091612903225	7.8142125
F13A1	6.788013620071685	7.818600645161291	7.293320312500001
F13B	5.239278853046595	5.241869032258064	5.2372015625
F2RL1	6.2569412186379925	6.47113870967742	6.37573046875
F2RL2	5.819120788530466	6.11118	5.710445312500001
F5	5.676070609318997	5.768088387096775	5.9283015625
F7	5.740848387096774	5.6069	5.45088828125
F8	5.588206093189965	5.626912903225806	5.5555875
F8A1	7.481458422939069	7.467574193548387	7.622357812500001
F8A2	5.560432258064516	5.571553548387096	5.60306328125
F9	5.5453480286738355	5.538425806451612	5.53674140625
FA2H	5.59347311827957	5.5508354838709675	5.64736875
FAAH2	6.722652329749104	6.480476774193548	6.18183984375
FABP1	5.2850043010752685	5.267970322580645	5.2685984375
FABP12	5.210141935483871	5.2333741935483875	5.213215625
FABP3	5.530148387096774	5.513984516129033	5.533157031250001
FABP4	7.060923297491039	8.579630967741934	7.1652703125
FABP5	5.499824372759857	5.589463225806452	5.822317968749999
FABP5P3	5.476317204301075	5.490523870967742	5.57695
FABP5P7	5.453730465949821	5.45664064516129	5.446932031249999
FABP6	5.4970125448028675	5.43898129032258	5.784499218750001
FABP7	5.658752688172043	6.079218064516129	7.3698125
FABP9	5.357474551971326	5.337366451612903	5.34832734375
FADS1	6.7029953405017935	6.682253548387097	7.26692265625
FADS2	5.63363835125448	5.547126451612903	5.9916445312499995
FADS3	5.4260508960573475	5.43380064516129	5.48136328125
FADS6	5.657675627240143	5.64836129032258	5.66807421875
FAF1	7.544145519713262	7.607781290322579	7.921825781250001
FAF2	10.126430824372761	9.956512258064516	9.8279140625
FAH	7.997546953405018	7.907199999999999	7.341375781250001
FAHD1	7.333312903225806	7.121276129032257	6.927449999999999
FAHD2A	5.875807885304659	5.873101290322579	6.0214265625
FAIM	5.5038738351254475	5.528556774193548	5.53355859375
FAIM2	6.003500358422939	5.9942032258064515	5.9477945312500005
FAIM3	7.667916129032258	7.928492258064517	7.78635234375
FAM101A	5.4980487455197125	5.562027096774194	5.664571875
FAM101B	6.045454480286739	6.228028387096774	6.2774921875
FAM102A	8.009606451612903	7.727989032258064	7.3822546875
FAM102B	7.262977777777778	7.082642580645161	6.89596953125
FAM103A1	7.144989964157706	7.103156129032258	7.068467968749999
FAM104A	8.49752724014337	8.306834838709678	8.303887500000002
FAM105A	5.925624372759857	6.090946451612903	6.000146875
FAM107B	8.86425806451613	8.813934193548386	8.873708593749999
FAM109A	6.020324372759856	5.921692903225807	6.0553617187499995
FAM109B	6.80719247311828	6.708422580645161	6.71705703125
FAM110A	8.266324731182795	8.049024516129032	8.06150546875
FAM110B	7.111354480286739	6.906657419354838	6.3317499999999995
FAM110C	5.571066666666667	5.542037419354838	5.48340390625
FAM111A	8.895331541218638	8.722845806451613	8.661609375
FAM114A1	6.290932258064515	6.426234193548387	6.30763984375
FAM114A2	6.360724731182796	6.277923870967742	6.11977890625
FAM115A	5.584989247311828	5.62333935483871	5.61738046875
FAM115C	5.454593906810037	5.451492903225806	5.47937734375
FAM117A	5.6591853046594975	5.715632903225806	5.71555078125
FAM117B	8.728125089605733	8.484092903225806	8.6993125
FAM118A	6.105045161290322	6.094604516129032	6.17404765625
FAM118B	5.855959498207885	5.940218709677419	6.02971796875
FAM120A	10.998071684587815	10.775649677419354	10.564074999999999
FAM120AOS	7.893582078853047	7.723042580645161	7.2837578125
FAM120B	9.63390681003584	9.566812258064516	9.286265625
FAM120C	6.162151612903226	6.101461290322581	5.979256250000001
FAM122A	5.5112584229390675	5.5287793548387105	5.53510703125
FAM122B	7.152746953405018	6.8397	6.9240265625
FAM122C	5.358058781362007	5.35052064516129	5.36748828125
FAM124A	5.348233691756273	5.377174838709677	5.41571796875
FAM124B	6.0350896057347665	6.1773135483870965	6.0922421875
FAM126A	5.42366917562724	5.481569032258065	5.469973437499999
FAM126B	6.1895989247311824	6.217523225806453	6.2562734375
FAM127A	9.271960573476703	9.691598709677418	9.70685
FAM127B	7.214163799283155	7.27136129032258	7.5004125
FAM127C	5.953105734767024	6.043540645161291	6.3576999999999995
FAM129A	9.19053512544803	9.425727096774194	8.861137499999998
FAM129B	8.942816129032257	8.913413548387096	9.07255390625
FAM129C	5.438724731182796	5.54574	5.66402109375
FAM131A	7.321616845878136	7.147270967741937	7.23076640625
FAM131B	5.556886738351254	5.549853548387097	5.515740625
FAM131C	5.412927598566308	5.410270967741934	5.445699218750001
FAM132A	5.617394982078853	5.649292258064516	5.6416921874999995
FAM133B	7.54017670250896	7.500179354838711	7.5076390625
FAM134A	8.423835842293908	8.041773548387098	7.92659296875
FAM134B	7.305720788530466	6.926966451612903	6.200170312500001
FAM134C	5.7126103942652335	5.610084516129032	5.631715625
FAM135A	5.704074193548387	5.81314129032258	5.9467640625
FAM135B	5.417286379928315	5.373876129032259	5.373467968749999
FAM136A	8.129186379928315	8.006749032258064	8.463521875
FAM136BP	5.566157706093191	5.540734193548388	5.5808374999999995
FAM138A	5.676746236559141	5.666098064516129	5.677618750000001
FAM13A	5.693101792114696	5.813423870967742	5.794736718749999
FAM13B	7.76463082437276	7.674940645161291	7.3428179687499995
FAM13C	5.393643727598566	5.478848387096774	5.4378328125
FAM149A	5.877886379928316	6.038114193548387	5.85197578125
FAM150A	5.3332702508960566	5.327025161290322	5.368365625
FAM150B	5.562456989247311	5.998713548387097	6.37688828125
FAM151A	5.294366308243728	5.306656774193549	5.32579453125
FAM151B	5.561945878136202	5.556064516129033	5.5141703125
FAM153A	5.408941577060932	5.426356774193549	5.43541171875
FAM153B	5.414482437275986	5.390034838709677	5.407478906250001
FAM153C	5.352088172043011	5.3561425806451615	5.342609375
FAM154A	5.481522222222223	5.441412903225807	5.404046093750001
FAM154B	5.4582813620071695	5.404113548387097	5.336839062499999
FAM155A	5.892781720430108	5.885441290322581	5.707516406250001
FAM155B	5.686944444444444	5.636865806451613	5.63391796875
FAM156B	6.412782795698925	6.402841290322581	6.447484375
FAM159A	5.688874551971326	5.795363870967742	5.81580546875
FAM159B	5.397384587813621	5.382936774193548	5.3862921875000005
FAM160A2	7.8272010752688175	7.701189032258064	7.477153125000001
FAM160B1	8.047221863799283	8.049634838709679	7.97344296875
FAM160B2	6.63986917562724	6.464887741935485	6.38683515625
FAM161A	6.285862724014336	6.124130967741935	6.21799921875
FAM161B	5.494409318996415	5.498070967741937	5.352627343750001
FAM162A	7.599543010752688	7.57835870967742	7.415260937500001
FAM163A	6.126342293906809	5.98754129032258	6.041003125
FAM163B	5.450967741935484	5.448441935483871	5.4602632812500005
FAM166A	5.418295340501793	5.41494064516129	5.4081343749999995
FAM166B	5.528002508960573	5.506269677419355	5.473265625
FAM167A	6.137169534050179	5.9555077419354845	5.99201015625
FAM167B	5.684536917562724	5.660330322580646	5.670509375
FAM168A	9.16828853046595	9.30539870967742	8.92933125
FAM168B	7.111863799283154	7.069341290322581	7.171238281249999
FAM169A	5.339453405017921	5.332409032258065	5.32316796875
FAM169B	5.311027956989248	5.327291612903226	5.3213953125
FAM170A	5.226185663082437	5.254211612903226	5.224400781250001
FAM170B	5.800436200716846	6.019194193548386	5.847525781249999
FAM171A1	7.273397491039426	7.95031935483871	8.847315625
FAM171B	5.560388888888889	5.546322580645161	5.571537500000001
FAM172A	8.630462365591397	8.673665806451613	8.28061875
FAM173A	9.076495698924733	8.784133548387096	8.28348828125
FAM173B	5.40170788530466	5.378829032258064	5.35916328125
FAM174A	6.85009247311828	6.822087741935484	6.41961015625
