	Cluster_0	Cluster_1	Cluster_2
NOL11	8.713467399267397	8.963076315789472	8.898184
NOL12	9.147048717948717	9.313434210526317	9.237628
NOL3	6.76170293040293	6.6510570175438595	7.147468
NOL4	5.469952380952381	5.691851754385964	5.520948571428572
NOL4L	5.409473626373626	5.4057438596491245	5.415113714285714
NOL6	5.662746153846154	5.688860526315789	5.664378857142857
NOL7	10.187527472527472	10.429305263157895	10.231763428571428
NOL8	7.3678	7.367756140350878	7.400981142857144
NOL9	5.910434065934066	5.94161754385965	6.018244
NOLC1	7.122623076923078	7.409157017543859	7.185530857142856
NOM1	5.471867032967033	5.502355263157895	5.522945714285715
NOMO1	8.310707692307691	8.426341228070175	8.485642857142858
NOMO3	6.133487545787546	6.280091228070176	6.1379211428571425
NONO	5.399104761904762	5.407381578947368	5.423580571428571
NOP10	11.048928571428572	11.211142982456138	10.875822857142857
NOP14	7.217609523809524	7.232050877192982	7.360542857142856
NOP16	6.885946520146521	7.203481578947367	7.083748
NOP2	6.441529670329671	6.743360526315788	6.571505142857144
NOP56	9.532445787545788	9.841830701754388	9.642728571428572
NOP58	7.983190109890109	8.302723684210529	8.074518285714285
NOS1	5.345713186813187	5.338035087719299	5.349453714285715
NOS1AP	5.936068131868132	5.586999999999999	6.211499428571429
NOS2	5.469605128205128	5.4699605263157896	5.473349714285714
NOS3	6.440506227106227	6.62881052631579	6.337080571428573
NOSIP	9.434769963369963	9.390527192982455	9.508909714285716
NOSTRIN	8.511806593406593	7.057877192982457	8.310254857142855
NOTCH1	7.92835824175824	8.479417543859649	7.675869714285715
NOTCH2	5.430501098901099	5.435758771929825	5.430945714285714
NOTCH2NL	5.562630036630036	5.541169298245614	5.589172
NOTCH3	8.857344322344323	8.832269298245613	8.696750285714286
NOTUM	5.44900695970696	5.467000877192983	5.445294285714286
NOVA1	5.875923076923077	5.44124298245614	6.269528571428571
NOVA2	5.368019413919414	5.384494736842104	5.3775062857142855
NOX1	5.4382179487179485	5.43558596491228	5.438854285714285
NOX3	5.370395238095238	5.381901754385964	5.384138857142857
NOX4	7.919568864468864	7.561309649122808	7.440910857142857
NOXA1	7.160123076923076	6.586687719298245	7.434533142857142
NOXO1	5.631061904761904	5.754222807017544	5.77382
NOXRED1	5.287311721611722	5.300859649122807	5.302622285714285
NPAP1	5.473236996336997	5.457208771929825	5.476198285714285
NPAS1	6.092062271062272	5.599056140350877	6.281813142857143
NPAS2	6.3322168498168505	6.34549298245614	6.284849142857142
NPAS3	5.46511282051282	5.415920175438597	5.444694285714285
NPAS4	5.40395347985348	5.390012280701755	5.406899428571428
NPAT	6.327279487179487	6.524904385964914	6.346079999999999
NPB	5.63191282051282	5.976656140350878	5.674149142857143
NPBWR1	5.315113919413919	5.33031052631579	5.3129925714285715
NPBWR2	5.576971062271062	5.557558771929823	5.615092571428571
NPC1	8.149487545787546	8.706421052631578	8.13064
NPC1L1	5.665920512820513	5.5538491228070175	5.75608
NPC2	12.801878754578755	13.096535964912281	12.388406857142856
NPDC1	6.356753113553113	6.111503508771929	6.496109714285714
NPEPL1	8.193843223443224	7.900047368421053	8.367846857142856
NPEPPS	5.969857875457876	5.9514859649122815	6.063928571428573
NPFF	5.554633333333333	5.5294447368421045	5.5642640000000005
NPFFR1	5.366359706959707	5.369700877192982	5.372444
NPFFR2	5.435616117216117	5.415366666666667	5.389663428571429
NPHP1	5.583453113553114	5.511373684210526	5.620176000000001
NPHP3	7.493485347985349	7.235077192982456	7.407876571428572
NPHP4	6.355913186813186	6.330490350877192	6.3493188571428565
NPHS1	5.334814285714287	5.354714912280702	5.344695428571429
NPHS2	5.470553846153847	5.469875438596491	5.464563428571429
NPIPA1	8.527232967032967	8.224909649122807	8.579297142857143
NPIPB15	8.62566336996337	8.370593859649121	8.694099428571429
NPIPB3	11.737290476190477	11.487028947368422	11.845077714285715
NPIPB7	5.399041391941392	5.392656140350878	5.413432
NPL	6.914343223443224	7.51002894736842	6.693485142857142
NPLOC4	7.485314652014651	7.6135833333333345	7.644817714285715
NPM1	12.06905347985348	11.98492543859649	12.037485142857143
NPM2	5.456999633699634	5.579120175438596	5.4453314285714285
NPM3	8.201504395604395	8.552484210526316	8.029910285714287
NPNT	6.762879120879121	5.95410701754386	6.995754857142856
NPPA	5.442572893772894	5.442709649122807	5.456187428571428
NPPB	5.352957142857143	5.354399122807017	5.351093142857143
NPPC	5.524458608058608	5.59833596491228	5.532132571428572
NPR1	5.5705853479853475	5.564288596491227	5.540358857142857
NPR2	5.97734358974359	5.8284473684210525	5.813842285714286
NPR3	5.458668864468865	5.572370175438596	5.413468
NPRL2	9.400157875457875	8.937198245614034	9.605820000000001
NPRL3	6.749108791208791	6.5021192982456135	6.930153142857144
NPSR1	5.898559706959706	5.977410526315791	5.8338
NPTN	7.355020146520146	7.433857017543859	7.470555999999999
NPTX1	5.354500366300366	5.362727192982456	5.359993714285714
NPTX2	6.071535531135531	6.142942105263159	5.840066857142856
NPVF	5.352186813186813	5.375455263157895	5.353181714285714
NPY	5.452137728937729	5.473133333333333	5.417759428571428
NPY1R	5.470358974358975	5.390650877192982	5.534262857142856
NPY2R	5.398651648351648	5.389815789473684	5.390369714285714
NPY4R	5.36869706959707	5.369106140350878	5.375177714285714
NPY5R	5.559697802197802	5.444881578947369	5.6605422857142855
NPY6R	5.3891868131868135	5.419018421052631	5.416417714285713
NQO1	7.710979853479853	7.306644736842105	7.685635428571428
