	Cluster_0	Cluster_1	Cluster_2
DPYS	5.36415	5.56599	5.41522
DPYSL2	9.79562	10.2737	10.2651
DPYSL3	10.2035	10.7937	10.3033
DPYSL4	6.49106	6.47068	6.65648
DPYSL5	5.58743	5.58381	5.55044
DQX1	5.51653	5.49424	5.40198
DR1	6.88386	7.03698	7.06618
DRAM1	7.72123	8.34718	8.19117
DRAM2	7.61769	7.52673	7.35916
DRAP1	10.5977	10.3942	10.6653
DRC1	5.38405	5.3242	5.39298
DRD1	5.31745	5.34465	5.33289
DRD2	5.37776	5.38088	5.40424
DRD3	5.36266	5.3748	5.37632
DRD4	6.7221	6.72476	6.79491
DRD5	5.36907	5.36589	5.3828
DRG1	8.95501	9.02257	9.27462
DRG2	7.44268	7.35159	7.33216
DRGX	5.50458	5.47252	5.51736
DRICH1	5.41909	5.39466	5.39258
DROSHA	6.56696	6.49324	6.65051
DRP2	5.23915	5.24186	5.22623
DSC1	5.46977	5.56049	5.55571
DSC2	6.0699	6.53402	7.88057
DSCAM	5.65797	5.67441	5.63587
DSCAML1	5.33435	5.31068	5.30599
DSCC1	5.94854	5.94481	6.36406
DSCR10	5.56607	5.56703	5.56268
DSCR3	7.91274	8.28515	8.0163
DSCR4	5.47665	5.48452	5.50438
DSCR8	5.35497	5.4612	5.66108
DSCR9	5.33019	5.30855	5.30617
DSE	5.42762	5.44687	5.44813
DSEL	5.86756	5.78875	5.67731
DSG1	5.50675	5.52671	6.16357
DSG2	7.03197	6.6001	7.70472
DSG3	5.67234	5.71335	6.7819
DSG4	5.82729	5.82937	5.79997
DSP	6.15078	5.88911	6.41454
DSPP	5.34396	5.36888	5.34834
DST	5.59281	5.5881	5.62859
DSTN	10.5152	10.2215	10.1668
DSTYK	7.01503	6.78254	6.93374
DTD1	7.04299	7.26515	7.69466
DTHD1	5.57714	5.66764	5.55641
DTL	6.17373	6.00487	6.50046
DTNA	5.96276	6.14987	6.19884
DTNB	6.53055	6.41375	7.04701
DTNBP1	5.93687	5.93954	5.93424
DTWD1	6.31251	6.3325	6.26847
DTWD2	5.83419	5.78595	5.69316
DTX1	5.65846	5.7472	5.6241
DTX2	7.34467	7.6461	7.60318
DTX3	7.13828	6.53098	6.58253
DTX4	5.33657	5.4152	5.39275
DTYMK	7.86279	7.9098	8.16982
DUOX1	5.62746	5.7246	5.86353
DUOXA1	5.37831	5.48054	5.59065
DUOXA2	5.39093	5.41196	5.34878
DUPD1	5.39891	5.38194	5.3687
DUS1L	7.26058	7.20652	7.40118
DUS2	7.11984	7.54183	7.46268
DUS3L	7.13837	7.15821	7.36152
DUS4L	6.90455	6.78417	7.11146
DUSP1	9.89178	10.5445	9.46865
DUSP10	6.31521	6.69083	6.16055
DUSP11	7.05635	7.17085	7.19626
DUSP12	8.89082	8.74807	9.1222
DUSP13	5.44582	5.42181	5.4403
DUSP14	7.89005	7.76948	7.88074
DUSP15	5.37347	5.3582	5.37274
DUSP16	7.0156	6.77615	6.58571
DUSP2	5.97138	6.2966	6.17373
DUSP21	5.3121	5.33387	5.30169
DUSP22	7.1867	7.55415	7.65705
DUSP23	10.5609	10.419	10.5388
DUSP26	6.20703	6.15293	6.11357
DUSP27	5.51779	5.51243	5.52436
DUSP28	7.91146	7.71254	7.31518
DUSP3	10.2239	10.1262	9.97142
DUSP4	6.22664	5.92858	5.61977
DUSP5	8.75441	8.60288	7.65486
DUSP5P1	5.43031	5.51169	5.43865
DUSP6	6.98732	7.36551	6.70652
DUSP7	5.40591	5.44785	5.49038
DUSP8	6.68905	6.45149	6.58123
DUSP9	5.2814	5.29441	5.35093
DUT	6.94426	6.75959	6.86819
DUX4	5.42401	5.41874	5.44231
DVL1	5.6627	5.65528	5.67251
DVL2	7.29531	7.22535	7.38598
