	Cluster_0	Cluster_1	Cluster_2
DESI1	8.307716666666666	8.013935648148149	7.810942105263158
DESI2	8.494871794871793	8.058106481481481	8.141917894736842
DET1	6.7732230769230775	6.946360648148148	6.924179473684211
DEXI	6.832872435897436	6.911012037037038	6.882655263157896
DFFA	6.595140384615384	6.532498148148148	6.5099836842105265
DFFB	5.912760256410257	5.933579166666667	5.8680552631578955
DFNA5	7.9132333333333325	7.336925	7.6876431578947395
DFNB31	6.232673076923077	6.624672222222222	6.468293684210525
DFNB59	5.60020576923077	5.696471296296296	5.68931789473684
DGAT1	7.500962820512821	7.748846296296296	7.565804210526317
DGAT2	6.146508333333333	5.9401324074074076	5.978509473684212
DGAT2L6	5.345551923076923	5.363955092592592	5.345974736842106
DGCR14	6.730823717948717	6.696995833333334	6.621690526315791
DGCR2	8.145079487179487	8.388666666666666	8.300137368421051
DGCR6	6.673460897435896	6.802356481481483	6.696334736842105
DGCR6L	9.922008333333334	10.003363888888888	10.00437
DGCR8	7.746594871794873	7.850321759259259	7.839387894736843
DGKA	6.06663141025641	5.917794907407408	6.00826052631579
DGKB	5.345773076923076	5.330177314814814	5.316217894736842
DGKD	5.651526282051283	5.767486111111111	5.739205263157895
DGKE	5.499319871794872	5.576159722222222	5.478944736842106
DGKG	5.381996153846154	5.308339814814815	5.327267894736842
DGKH	5.470193589743589	5.447527777777777	5.44213
DGKI	5.39066282051282	5.370626388888889	5.4341726315789485
DGKK	5.320407692307692	5.328477314814815	5.3175568421052635
DGKQ	7.675544871794871	7.883892592592593	7.808668421052631
DGKZ	5.340642307692308	5.353154629629629	5.34296052631579
DGUOK	10.205970512820514	10.039867129629627	10.076383157894737
DHCR24	8.087757692307692	8.786760185185186	8.497577894736843
DHCR7	8.446659615384615	8.181613888888888	7.738164210526317
DHDDS	7.046116025641025	7.01359537037037	7.047554210526316
DHDH	6.278347435897436	6.170172685185185	6.049592105263159
DHFR	5.911528846153847	5.821831944444444	5.7633126315789465
DHH	5.473824358974359	5.480610185185185	5.472595789473685
DHODH	5.550050000000001	5.506905555555556	5.5003589473684205
DHPS	8.290584615384615	8.802256018518518	8.476575263157896
DHRS1	9.033414102564102	9.414597685185184	9.441444736842106
DHRS11	7.7389743589743585	7.772637962962962	7.667820526315791
DHRS12	5.985839743589744	5.9929240740740735	6.020638947368421
DHRS13	6.103512179487179	6.344587499999999	6.090043157894738
DHRS2	5.833008974358974	6.325276388888888	6.072116842105264
DHRS3	8.759546794871795	8.246232407407408	8.471773684210525
DHRS4	6.927703846153845	7.226918055555556	7.106667368421052
DHRS4L1	6.442296794871796	6.640612962962962	6.575648947368421
DHRS7	9.755079487179488	10.11032638888889	10.02833052631579
DHRS7B	7.396205128205128	7.542369907407407	7.48023947368421
DHRS7C	5.451391666666668	5.454356944444443	5.451457894736842
DHRS9	5.709721153846154	5.494813888888888	5.540322631578947
DHRSX	7.7080403846153835	7.887660185185185	7.87876052631579
